,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,genre
281,2001: A Space Odyssey,1968,156,10500000.0,8.3,64982,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,,,,,,,,,
1651,Alien,1979,116,11000000.0,8.3,63400,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,,,,,
1678,Aliens,1986,154,18500000.0,8.3,63961,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,Action,,,,,,,Action
2105,American Beauty,1999,121,15000000.0,8.5,109991,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,,,,Drama,,,,Drama
2148,American History X,1998,119,10000000.0,8.4,59677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
2177,American Pie,1999,95,11000000.0,6.8,41126,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,,,Comedy,,,,,Comedy
2923,Apocalypse Now,1979,202,31500000.0,8.5,64785,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,Action,,,Drama,,,,Action
2926,Apollo 13,1995,140,62000000.0,7.5,41098,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,,,,Drama,,,,Drama
3128,Armageddon,1998,153,140000000.0,5.7,45330,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,Action,,,,,,,Action
3256,As Good as It Gets,1997,139,50000000.0,7.7,47441,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,,,Comedy,Drama,,Romance,,Comedy
3978,Back to the Future,1985,111,19000000.0,8.1,68647,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,Action,,Comedy,,,,,Action
4779,"Beautiful Mind, A",2001,135,60000000.0,7.8,43291,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,PG-13,,,,Drama,,,,Drama
4952,Being John Malkovich,1999,113,13000000.0,7.9,55079,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,,,Comedy,Drama,,,,Comedy
5566,"Big Lebowski, The",1998,117,15000000.0,8.0,50179,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,R,,,Comedy,,,,,Comedy
6087,Blade Runner,1982,117,28000000.0,8.2,74749,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,Action,,,Drama,,,,Action
7287,Braveheart,1995,177,53000000.0,8.3,92437,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,Action,,,Drama,,,,Action
8881,Casablanca,1942,102,950000.0,8.8,66030,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,,,,,Drama,,Romance,,Drama
10209,Citizen Kane,1941,119,686033.0,8.7,61083,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,,,,,Drama,,,,Drama
10413,"Clockwork Orange, A",1971,137,2200000.0,8.3,65283,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,,,,Drama,,,,Drama
12816,Dead Poets Society,1989,128,16400000.0,7.7,43294,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,,,,Drama,,,,Drama
13831,Die Hard,1988,131,28000000.0,8.0,58870,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,Action,,,,,,,Action
14308,Dogma,1999,130,10000000.0,7.3,43391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,,,Comedy,,,,,Comedy
14578,Donnie Darko,2001,133,4500000.0,8.3,51961,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,,Drama,,,,Drama
14857,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,1800000.0,8.7,63471,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,,,Comedy,,,,,Comedy
15366,E.T. the Extra-Terrestrial,1982,120,10500000.0,7.8,44175,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,,,,Drama,,,,Drama
16423,Eternal Sunshine of the Spotless Mind,2004,108,20000000.0,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,Comedy,Drama,,Romance,,Comedy
17173,Fargo,1996,98,7000000.0,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
17643,"Fifth Element, The",1997,126,90000000.0,7.1,55398,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,Action,,,Drama,,,,Action
17656,Fight Club,1999,139,63000000.0,8.5,112092,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,,Drama,,,,Drama
17842,Finding Nemo,2003,100,94000000.0,8.3,41846,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,Animation,Comedy,Drama,,,,Animation
18641,Forrest Gump,1994,142,55000000.0,8.2,89722,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,PG-13,,,Comedy,Drama,,,,Comedy
19242,"Fugitive, The",1993,130,44000000.0,7.7,48292,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,Action,,,Drama,,,,Action
19269,Full Metal Jacket,1987,116,30000000.0,8.2,47757,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,,,Drama,,,,Drama
20390,Gladiator,2000,155,103000000.0,8.0,92495,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,Action,,,Drama,,,,Action
20544,"Godfather, The",1972,175,6000000.0,9.1,122755,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,,,,,Drama,,,,Drama
20545,"Godfather: Part II, The",1974,200,13000000.0,8.9,71363,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,,,,,Drama,,,,Drama
20834,Good Will Hunting,1997,126,10000000.0,7.8,60858,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
20872,Goodfellas,1990,145,25000000.0,8.6,68219,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,,,,Drama,,,,Drama
21284,"Green Mile, The",1999,188,60000000.0,8.1,60142,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
21392,Groundhog Day,1993,101,,8.0,44819,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG,,,Comedy,,,Romance,,Comedy
22187,Harry Potter and the Sorcerer's Stone,2001,152,130000000.0,7.2,46741,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,,,,,,,,
22459,Heat,1995,188,60000000.0,7.9,44588,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,Action,,,Drama,,,,Action
25271,Independence Day,1996,153,75000000.0,6.1,61831,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,Action,,,,,,,Action
25291,Indiana Jones and the Last Crusade,1989,127,48000000.0,8.1,61583,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,Action,,,,,,,Action
25961,It's a Wonderful Life,1946,118,3180000.0,8.6,41199,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,,,,,Drama,,Romance,,Drama
26260,Jaws,1975,130,12000000.0,8.2,46978,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,,,,,,,
27051,Jurassic Park,1993,127,63000000.0,7.4,57473,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,Action,,,,,,,Action
27718,Kill Bill: Vol. 1,2003,111,55000000.0,8.3,65026,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,Action,,,Drama,,,,Action
27719,Kill Bill: Vol. 2,2004,136,30000000.0,8.3,44189,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,Action,,,Drama,,,,Action
28601,L.A. Confidential,1997,138,35000000.0,8.4,69600,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,,,Drama,,,,Drama
30657,"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000.0,8.8,157608,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,PG-13,Action,,,,,,,Action
30658,"Lord of the Rings: The Return of the King, The",2003,251,94000000.0,9.0,103631,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,64.5,PG-13,Action,,,,,,,Action
30659,"Lord of the Rings: The Two Towers, The",2002,223,94000000.0,8.8,114797,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG-13,Action,,,,,,,Action
30756,Lost in Translation,2003,102,4000000.0,8.0,42450,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,24.5,R,,,Comedy,Drama,,,,Comedy
31649,Magnolia,1999,188,37000000.0,8.0,45992,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,R,,,,Drama,,,,Drama
32707,"Matrix Reloaded, The",2003,138,127000000.0,7.1,57225,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,Action,,,,,,,Action
32708,"Matrix Revolutions, The",2003,125,110000000.0,6.3,40058,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,Action,,,,,,,Action
32709,"Matrix, The",1999,136,63000000.0,8.5,143853,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,Action,,,,,,,Action
33033,Memento,2000,113,5000000.0,8.7,90317,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,,,,Drama,,,,Drama
33076,Men in Black,1997,98,90000000.0,6.8,53231,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,Action,,Comedy,,,,,Action
33726,Minority Report,2002,145,102000000.0,7.8,51199,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,PG-13,Action,,,Drama,,,,Action
34338,Monty Python and the Holy Grail,1975,91,250000.0,8.4,60565,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,,,Comedy,,,,,Comedy
34625,Moulin Rouge!,2001,127,52500000.0,7.7,47689,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,PG-13,,,,Drama,,Romance,,Drama
37323,Ocean's Eleven,2001,116,85000000.0,7.5,44662,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,PG-13,,,Comedy,,,,,Comedy
37875,One Flew Over the Cuckoo's Nest,1975,133,4400000.0,8.7,70234,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,,,,Drama,,,,Drama
40209,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,125000000.0,8.0,60812,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,PG-13,Action,,Comedy,,,,,Action
41271,"Princess Bride, The",1987,98,16000000.0,8.2,53946,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,,,Comedy,,,Romance,,Comedy
41586,Psycho,1960,108,806947.0,8.6,53962,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,,,,,,,,
41661,Pulp Fiction,1994,168,8000000.0,8.8,132745,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,,Drama,,,,Drama
42236,Raiders of the Lost Ark,1981,115,20000000.0,8.7,93511,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,Action,,,,,,,Action
42249,Rain Man,1988,133,25000000.0,7.9,42562,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,,,,Comedy,Drama,,,,Comedy
42554,Rear Window,1954,112,2000000.0,8.7,41035,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,,,,,,,,
42948,Requiem for a Dream,2000,102,4500000.0,8.4,47845,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,,Drama,,,,Drama
42966,Reservoir Dogs,1992,99,1200000.0,8.3,69240,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,,,,,
43680,"Rock, The",1996,136,75000000.0,7.0,46184,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,Action,,,Drama,,,,Action
44948,Saving Private Ryan,1998,170,70000000.0,8.3,100267,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,R,Action,,,Drama,,,,Action
45126,Schindler's List,1993,195,25000000.0,8.8,97667,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,,,,Drama,,,,Drama
45258,Scream,1996,111,15000000.0,7.0,43652,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,,,,,,,,
45330,Se7en,1995,127,30000000.0,8.4,88371,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
46163,Shakespeare in Love,1998,122,25000000.0,7.5,41999,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,,,Comedy,Drama,,Romance,,Comedy
46268,"Shawshank Redemption, The",1994,142,25000000.0,9.1,149494,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,45.5,R,,,,Drama,,,,Drama
46444,"Shining, The",1980,146,19000000.0,8.3,50908,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,,,,,,,
46647,Shrek,2001,90,60000000.0,8.0,65146,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG,,Animation,Comedy,,,Romance,,Animation
46825,Signs,2002,108,72000000.0,7.1,40285,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,,,,Drama,,,,Drama
46839,"Silence of the Lambs, The",1991,118,19000000.0,8.5,92060,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,,,,,,,
47184,"Sixth Sense, The",1999,107,55000000.0,8.2,96987,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG-13,,,,Drama,,,,Drama
47637,Snatch.,2000,102,10000000.0,7.9,44785,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,Comedy,,,,,Comedy
48516,Spider-Man,2002,121,139000000.0,7.4,63228,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,Action,,,,,,,Action
48517,Spider-Man 2,2004,127,200000000.0,7.9,40256,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG-13,Action,,,,,,,Action
48907,Star Wars,1977,125,11000000.0,8.8,134640,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,Action,,,,,,,Action
48908,Star Wars: Episode I - The Phantom Menace,1999,133,115000000.0,6.4,84488,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,PG,Action,,,,,,,Action
48909,Star Wars: Episode II - Attack of the Clones,2002,120,120000000.0,7.0,63889,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,PG,Action,,,,,,,Action
48910,Star Wars: Episode V - The Empire Strikes Back,1980,129,18000000.0,8.8,103706,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,Action,,,,,,,Action
48911,Star Wars: Episode VI - Return of the Jedi,1983,135,32500000.0,8.1,82471,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG,Action,,,,,,,Action
50944,Taxi Driver,1976,110,1300000.0,8.5,47873,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,,,,Drama,,,,Drama
51242,Terminator 2: Judgment Day,1991,154,100000000.0,8.2,77614,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,Action,,,Drama,,,,Action
51245,"Terminator, The",1984,108,6400000.0,7.9,59772,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,Action,,,Drama,,Romance,,Action
51574,There's Something About Mary,1998,134,23000000.0,7.2,46343,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,,,Comedy,,,Romance,,Comedy
52347,Titanic,1997,194,200000000.0,6.9,90195,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,PG-13,,,,Drama,,Romance,,Drama
52929,Toy Story,1995,81,30000000.0,7.9,46019,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,,Animation,Comedy,,,,,Animation
52930,Toy Story 2,1999,92,90000000.0,8.1,40941,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,,Animation,Comedy,,,,,Animation
52973,Traffic,2000,147,48000000.0,7.8,41268,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,,,,Drama,,,,Drama
53026,Trainspotting,1996,94,3500000.0,8.0,51887,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,,,,Drama,,,,Drama
53481,"Truman Show, The",1998,103,60000000.0,7.7,62434,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG,,,Comedy,Drama,,,,Comedy
53712,Twelve Monkeys,1995,129,29000000.0,7.9,62301,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,,,,Drama,,,,Drama
54664,"Usual Suspects, The",1995,106,6000000.0,8.7,103854,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,,,,,,,,
57451,Wo hu cang long,2000,120,15000000.0,8.2,52198,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,PG-13,Action,,,,,Romance,,Action
57768,X-Men,2000,104,75000000.0,7.3,45332,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,Action,,,,,,,Action
